block,may23,june7,june21
55,,,
55,,,
55,,,
55,,,
56,13.6,18.1,16.7
56,,,
56,,,
56,,,
56,,,
56,,,
56,,,
56,,,
56,,,
56,,,
57,15.5,20.5,17.2
57,,,
57,,,
57,,,
57,,,
57,,,
57,,,
57,,,
57,,,
57,,,
58,16,19.5,18.1
58,,,
58,,,
58,,,
58,,,
58,,,
58,,,
58,,,
58,,,
58,,,
59,15.8,19.8,17.5
59,,,
59,,,
59,,,
59,,,
59,,,
59,,,
59,,,
59,,,
59,,,
60,15.3,21.5,17.5
60,,,
60,,,
60,,,
60,,,
60,,,
60,,,
60,,,
60,,,
60,,,
61,14.5,18.4,17.5
61,,,
61,,,
61,,,
61,,,
61,,,
61,,,
61,,,
61,,,
61,,,
62,14.2,18.8,17.3
62,,,
62,,,
62,,,
62,,,
62,,,
62,,,
62,,,
62,,,
62,,,
63,14,19.4,17.2
63,,,
63,,,
63,,,
63,,,
63,,,
63,,,
63,,,
63,,,
63,,,
64,12.7,18.7,16
64,,,
64,,,
64,,,
64,,,
64,,,
64,,,
64,,,
64,,,
64,,,
,,,
