"block","trt","leafn","lma","seedmass","srl","rootdiam","rmf","full","year","water"
28,"rand",0.877208122397172,0.183180079240473,1.39510133939852,0.815481101177934,0.433875750883094,0.283645681028078,4.10124717616609,"2023","0.5"
29,"dt",1.91571946250563,0.263088999878927,0.712670415080144,1.22625341899368,0.302814343195311,0.920308738011197,6.10257412766488,"2023","0.5"
29,"fd",0.231044545896564,0.0520062386935144,0.0153193529834182,0.212659995837074,0.0241493280093882,0.0486824389861958,0.698740776831832,"2023","0.5"
29,"ir",1.71913278057833,0.647218674168529,3.44463091642816,1.67713499661464,1.1552633356173,0.383245675959155,9.02662637936611,"2023","0.5"
3,"dt",0.646446665111142,0.302609248466949,0.541588950936136,0.44272185760251,0.12912138229915,0.130074629930833,3.0953405121245,"2023","1.25"
3,"fd",1.01988980858047,0.531533135092503,0.160933456478814,0.736391390196286,0.176255517101208,0.141187046626009,3.6539374924728,"2023","1.25"
3,"ir",0.305612543581665,0.107739476736377,0.414428651475915,0.271673250569875,0.122378190769217,0.172146468579677,1.67261369831081,"2023","1.25"
3,"rand",0.548210983830251,0.243958864846884,0.0618958353805202,0.35469578281776,0.19540283940724,0.197081985146892,2.23973124626353,"2023","1.25"
30,"dt",0.902313318362373,0.232974796004255,0.875041776673172,0.536745823663765,0.333233321687999,0.218684846403954,3.54814065414626,"2023","0.5"
30,"fd",1.14810620387436,0.309016914952522,0.107627043030936,0.493148358228235,0.0488302589804213,0.180844812821767,2.77344357645614,"2023","0.5"
30,"ir",1.17192375084279,0.310463075177082,1.67668796208311,0.994286438578628,0.492944460699268,0.214549862116942,5.4694953946287,"2023","0.5"
30,"rand",1.97811663723422,0.762067452729798,0.0692756527292311,0.557426982788921,0.147967043468299,0.368273443155515,4.22445522993863,"2023","0.5"
31,"dt",0.782750573451112,0.358069039408485,0.77946929409828,0.500424412516125,0.238095984140758,0.179256683179759,3.39732815319954,"2023","0.5"
31,"fd",1.42285729944629,0.629321516815488,2.86569196806839,1.0372854680513,0.991008945485188,0.278134822365599,8.01650183713256,"2023","0.5"
31,"ir",0.43581419726156,0.109110987658205,0.615649988453707,0.355879552343004,0.172396842169086,0.0770309120509994,1.83471794367021,"2023","0.5"
31,"rand",1.09740253000391,0.38588795888404,1.14579354427713,0.686737030412538,0.356036064544275,0.2227228252911,4.21212506262477,"2023","0.5"
32,"dt",0.953661298186973,0.361674494944929,0.113914491318065,0.621990913375093,0.120089811391245,0.460747040372291,3.49303321020728,"2023","0.5"
32,"fd",1.08866784709485,0.365565123559488,3.26146183242558,1.13455953506535,0.955565076918537,0.324801828321706,7.32177897301986,"2023","0.5"
32,"ir",1.25105675464348,0.570123757870384,1.20527191631198,0.956956298404075,0.506621262487199,0.286675180356357,5.74842362904809,"2023","0.5"
32,"rand",1.490497732495,0.672046587716497,0.0813402282884558,0.466464517111716,0.148742673712118,0.2943913309002,3.47922875311253,"2023","0.5"
33,"dt",1.18941681099992,0.343771070938801,2.27903405561287,1.06034620310193,0.85324397490593,0.287033104775745,6.31404514229149,"2023","0.5"
