"leafn","lop","ldmc","srl","rootdiam","veg","full","trt","year","block","subplot","drought"
0.110402769333301,0.0633754099273703,0.157995648830966,0.147406538923634,0.167410626183577,0.544842363024181,2.37842737919235,"dt","2021","1","n","cntl"
0.738743458111919,0.241279526906746,1.16420399305838,0.600578341775569,0.184960224582349,0.573979591836735,7.18816300244073,"dt","2021","1","s","cntl"
1.23807548134344,0.133809783775721,0.363877610422388,0.972093198428619,1.72338441619792,0.119156318480643,7.43499134089314,"dt","2021","10","n","cntl"
0.976075271761158,0.229628150130323,0.414553201677641,0.842147765257088,1.30231923978969,0,6.84196837752101,"dt","2021","10","s","cntl"
0.325322439776922,0.934021192839652,1.92194185105108,0.364016936605801,0.830891046351041,0.254814814814815,8.29116927485813,"dt","2021","11","n","drt"
0.154361050514409,0.418184686185022,0.339239530685076,0.756793335245337,0.787527718949286,0.0674070247933884,5.05826574945697,"dt","2021","11","s","drt"
1.22780852997398,0.66542290443797,0.0957920771214213,1.58316076355681,1.49715399678523,1.14738292011019,8.88081333329196,"dt","2021","12","n","cntl"
0.885927702906012,0.892570772286,0.0852993101915412,1.09965687478378,1.19235766675668,1.33333333333333,7.62779384045523,"dt","2021","12","s","cntl"
0.176616991176401,0.216432762898374,0.427969155428615,0.279893812784471,0.32636075897797,0.191281246226301,4.43187461139067,"dt","2021","13","n","cntl"
0.0573313183381453,0.214198418816268,0.139750945786885,0.608243582283983,0.33990196923497,0,3.29826836747733,"dt","2021","13","s","cntl"
0.588257418456361,0.41642816853876,0.751486586108706,0.685562249000691,0.458849057326714,1.05246804604195,7.24649378634856,"dt","2021","14","n","drt"
0.677710869199527,0.81572507119098,0.688556308059732,0.852481689012342,0.984944415848462,1.18622678925545,8.64798513087612,"dt","2021","14","s","drt"
1.88810247537398,0.787783655661443,2.14094162769487,1.06711169017405,1.79413482483462,0.519017013232514,12.3032498696003,"dt","2021","15","n","drt"
1.32984946363379,0.805994576762669,1.73402625290985,1.1157294419974,1.56795210187464,0.994031387654697,11.8709354774016,"dt","2021","15","s","drt"
0.243000689332189,0.211289236977664,0.402181930929643,0.298275978190324,0.315747333017102,0,4.03068164920642,"dt","2021","16","n","cntl"
0.246631929698968,0.265799108107837,0.37275324925921,0.561903188046453,0.602844578493576,0.102533081285444,4.31958053001006,"dt","2021","16","s","cntl"
0.117445867966814,0.632908460904723,0.555828318324919,1.2367429303546,0.459560038452595,0.0387080452015517,5.48648228313352,"dt","2021","17","n","cntl"
0.196936915749335,0.369585098812497,0.372404684070188,0.996423875217235,0.244612427035338,0,4.59424176143625,"dt","2021","17","s","cntl"
1.30840766964405,0.158309076469714,0.43322401750812,1.02611492345488,1.72890031135034,0,7.84648592562579,"dt","2021","18","n","drt"
1.20176071122827,0.430626068422428,1.03719385039825,0.973632441277846,1.57975902614432,0,8.78875807905176,"dt","2021","18","s","drt"
1.40671086849777,0.749938854948803,1.2892827481256,1.2461935285408,1.68027775512427,0.260330578512397,10.1673433980332,"dt","2021","19","n","cntl"
1.18499307877205,0.449785268108883,0.511359673147182,0.950466983310549,1.13693510551622,0.371417233906169,7.06129574425832,"dt","2021","19","s","cntl"
1.01249389515242,0.45610556950058,0.420752649001215,0.969726588359498,0.877542066057203,0.8466,7.73121932690831,"dt","2021","2","n","cntl"
1.04415817698523,0.358876132526406,0.227688761204604,1.01073528338202,1.05913572294444,0.702473958333333,6.81740302321035,"dt","2021","2","s","cntl"
1.07161174537809,0.639789638823652,0.791794363872584,0.816349747249021,1.10215848901101,0,7.3933354735228,"dt","2021","20","n","drt"
1.13456552863498,0.636860363337045,2.08723654790757,1.09269708152611,1.8876361711661,0.0174163981108929,10.7467969615575,"dt","2021","20","s","drt"
0.272874682771477,0.558446243690075,0.971256100070906,0.526159101401615,0.362449936996427,0.125465702388779,5.68967158140059,"dt","2021","21","n","cntl"
0.167535848179847,0.16397582757099,0.773624848413256,0.362642486022338,0.228292226380453,0.200428634714623,3.87274754062235,"dt","2021","21","s","cntl"
1.09542959232192,1.13440465417867,0.143016861700888,1.29497760812961,1.49745670628844,1.35331420271371,9.72313422576375,"dt","2021","22","n","drt"
0.995876321312039,0.49184964728529,0.253304052297572,1.35627529924826,1.7175328335819,1.47923875432526,9.83734834654849,"dt","2021","22","s","drt"
0.261546688342345,0.259170271051021,0.478479591423416,0.204557629762162,0.435234578671584,0.2252197265625,4.6356585755839,"dt","2021","23","n","cntl"
0.266936314034522,0.332969251121036,0.550120849685624,0.391540098919208,0.551787514399253,0.330156856130882,5.54445115506434,"dt","2021","23","s","cntl"
0.0577368029913872,0.150856907059071,0.22902097700458,0.378636861160092,0.350448094430932,0.219195641724083,3.73842711455142,"dt","2021","24","n","drt"
0.108558999811478,0.665600345951394,0.230268043631679,0.806997460913288,0.682818220870506,1.13611049231455,6.36889460905637,"dt","2021","24","s","drt"
0.23085621857914,0.333143913168411,0.448350485192885,0.480347793697265,0.464709732680022,0.588775951557093,4.36125700828309,"dt","2021","25","n","cntl"
0.152508036268628,0.30219370715737,0.477543890373728,0.641108255159983,0.649512097105052,0.544842363024181,5.02908920139105,"dt","2021","25","s","cntl"
0.86141982897956,0.323273216679918,0.215951032512465,0.943142365028084,1.05221851000405,0.562195781503515,6.61224978642685,"dt","2021","26","n","drt"
0.969004378988514,0.311138269168244,0.154442678132933,1.25427103775066,1.430022252747,0.727474048442906,7.79786736923413,"dt","2021","26","s","drt"
1.10957600626634,1.23244729928327,0.420856907576813,1.06297874295367,1.42034274381941,0.513361026722053,9.60545128029713,"dt","2021","27","n","cntl"
