"trt.b.y","distdt","distir","distfd","distr","targetdist"
"rand.17.2023",0.726054369379464,1.81503223387329,0.363837231403338,1.62965441811567,1.62965441811567
"rand.18.2021",1.26613590667994,0.704448689289574,0.606795909133234,1.15135324074122,1.15135324074122
"rand.18.2022",1.08783524623794,1.83831669906389,0.213167639321069,3.04413705359437,3.04413705359437
"rand.18.2023",1.2976633908604,1.75236200045879,0.460959043426168,0.704828226850691,0.704828226850691
"rand.19.2021",1.32208652620841,1.5448584744734,0.596534747770839,1.23640972489888,1.23640972489888
"rand.19.2022",1.00800821238144,1.13565508295477,0.494004885137558,1.0760162685949,1.0760162685949
"rand.19.2023",1.42847672353764,1.51508430909948,0.500200652545839,1.32398715048343,1.32398715048343
"rand.2.2021",1.36048847359345,2.40614619961882,0.548906800863131,1.69693579427525,1.69693579427525
"rand.2.2022",1.22599464973225,3.02584028978633,0.523056216437522,2.06623636397951,2.06623636397951
"rand.2.2023",1.18259577508564,2.52632392098976,0.511662478233901,1.44171814653452,1.44171814653452
"rand.20.2021",1.34809767112411,2.01681820500262,0.494828087624112,1.39459352534682,1.39459352534682
"rand.20.2022",0.981211591346077,1.32304284900456,0.442188996898156,1.60340558267189,1.60340558267189
"rand.20.2023",1.49468807174891,1.54573913951429,0.463216163478885,2.09209648932164,2.09209648932164
"rand.21.2021",0.720744691070228,1.88294760052724,0.567792930810878,1.51989238292408,1.51989238292408
"rand.21.2022",0.74865295811429,1.76043643423372,0.459080001754354,1.44619876773788,1.44619876773788
"rand.21.2023",1.35287286711378,1.52918242948085,0.460326178516421,1.62662988629409,1.62662988629409
"rand.22.2021",1.24612793102165,1.75223164248869,0.631221399272413,0.712707250094119,0.712707250094119
"rand.22.2022",0.846488968914115,1.82894594607778,0.268387254391788,0.766233640235965,0.766233640235965
"rand.22.2023",0.862848155252355,1.82098071059087,0.0352973009973616,1.63853167736033,1.63853167736033
"rand.23.2021",1.2835729960352,1.41584159625243,0.0425336587684143,1.03705725633152,1.03705725633152
"rand.23.2022",0.596949236396194,1.69761961386169,0.295790712439677,1.28905534728063,1.28905534728063
"rand.23.2023",1.34346751810343,2.3689986982864,0.498931712765342,3.51004771489929,3.51004771489929
"rand.24.2021",0.991582231780187,1.95285186807615,0.24341025054871,1.11108214641688,1.11108214641688
"rand.24.2022",0.86003921924343,2.36797577960187,0.256554361583481,1.08467549534768,1.08467549534768
"rand.24.2023",1.49500984001212,2.38185151566341,0.410866244550847,0.923293966630013,0.923293966630013
"rand.25.2021",2.45560886129459,2.48717076790513,0.21818353325328,1.07905986627928,1.07905986627928
"rand.25.2022",0.892002465667011,2.36794049165565,0.394721038435469,1.21996523812957,1.21996523812957
"rand.25.2023",1.43778621283209,3.09133014722057,0.555428326071246,1.19181378940695,1.19181378940695
"rand.26.2021",1.56853904654429,2.22876519071998,0.674164247610138,1.50555064794522,1.50555064794522
"rand.26.2022",1.43211333353525,2.60809204149848,0.487086446957073,1.12677775039923,1.12677775039923
"rand.26.2023",1.42259821308171,1.02935950929693,0.56644938938264,2.24529558915785,2.24529558915785
"rand.27.2021",0.665561215407141,0.961721287205018,0.321915955833111,2.47512241550393,2.47512241550393
"rand.27.2022",0.789097664625622,1.90217873606757,0.319157049280728,1.58699318097457,1.58699318097457
"rand.27.2023",0.700074317471285,1.05223860167469,0.225930913683905,2.780278196461,2.780278196461
"rand.28.2021",1.43673934257508,1.69607946451982,0.229180138068504,0.969057538599707,0.969057538599707
"rand.28.2022",0.70309710526907,0.659028125353949,0.209695864343735,1.43731147042815,1.43731147042815
"rand.28.2023",1.16662448276291,0.61044888093701,0.429832014211245,1.94587978558898,1.94587978558898
"rand.29.2022",1.15693303666085,2.35501452752881,0.762835578728118,1.0515036971009,1.0515036971009
"rand.3.2021",1.3115499160641,1.68341800627122,0.596144347210119,0.88914985394368,0.88914985394368
"rand.3.2022",1.22477608624426,2.40129415245566,0.470710131997458,1.43168418783304,1.43168418783304
"rand.3.2023",1.42085780281877,1.46289822504205,0.592313562961165,1.16432833585613,1.16432833585613
"rand.30.2021",0.899219108985537,1.75240042249017,0.212833830175121,0.57068650279571,0.57068650279571
"rand.30.2022",1.18118692290039,2.03362730724141,0.416143727536138,1.39767379348957,1.39767379348957
"rand.30.2023",1.60124258114046,1.33808490945469,0.419077856766848,1.35149208719837,1.35149208719837
"rand.31.2021",1.1684789028983,2.09903225409659,0.905378593705668,1.03319596266024,1.03319596266024
"rand.31.2022",0.949894877669581,1.60696690929498,0.539649110608745,1.13120815510481,1.13120815510481
"rand.31.2023",1.18944445351213,0.794508368416469,0.420154089663553,1.75214380142449,1.75214380142449
