"dist.ca","id"
0.779243166776277,"dt.1.2021"
0.351701293233083,"dt.10.2021"
0.64803821686747,"dt.11.2021"
0.423051689104543,"dt.12.2021"
0.812827173913043,"dt.13.2021"
0.543195201977348,"dt.14.2021"
0.480449391304347,"dt.15.2021"
0.618740743589744,"dt.16.2021"
0.770206595655326,"dt.17.2021"
0.831696052631579,"dt.18.2021"
0.455813492822966,"dt.19.2021"
0.814229865920008,"dt.2.2021"
0.616421086956522,"dt.20.2021"
0.611209211109649,"dt.21.2021"
0.898945966608439,"dt.22.2021"
0.697529721780734,"dt.23.2021"
0.682600897560975,"dt.24.2021"
0.477776846197899,"dt.25.2021"
0.72029450192772,"dt.26.2021"
0.682665272727272,"dt.27.2021"
0.622851304383399,"dt.28.2021"
0.431041568958431,"dt.29.2021"
0.656571,"dt.3.2021"
0.650210519722327,"dt.30.2021"
0.502623751311875,"dt.31.2021"
0.635794462132642,"dt.32.2021"
0.615564260123219,"dt.33.2021"
0.580736402116402,"dt.34.2021"
0.73439363717542,"dt.35.2021"
0.7168692,"dt.36.2021"
0.846153846153846,"dt.37.2021"
0.728318217100285,"dt.38.2021"
0.771045180722892,"dt.39.2021"
0.395912247524752,"dt.4.2021"
0.448783057068854,"dt.40.2021"
0.656981183098591,"dt.41.2021"
0.67498974370444,"dt.42.2021"
0.545856217315498,"dt.43.2021"
0.554496360947973,"dt.44.2021"
0.606771259259259,"dt.45.2021"
0.500533815384615,"dt.46.2021"
0.615788720937839,"dt.47.2021"
0.439616844155844,"dt.48.2021"
0.654903819354839,"dt.49.2021"
0.545155539568345,"dt.5.2021"
1,"dt.50.2021"
0.562129921568627,"dt.51.2021"
0.504648129404833,"dt.52.2021"
0.439563738043982,"dt.53.2021"
0.549504948787982,"dt.6.2021"
1,"dt.7.2021"
0.59240746031746,"dt.8.2021"
0.604746981818182,"dt.9.2021"
0.806407230769231,"fd.1.2021"
0.646431230547825,"fd.10.2021"
0.585134116523851,"fd.11.2021"
1,"fd.12.2021"
0.642237967213115,"fd.13.2021"
0.645858382978723,"fd.14.2021"
0.782321,"fd.15.2021"
0.68162102535232,"fd.16.2021"
0.574960001806029,"fd.17.2021"
0.664982579876197,"fd.18.2021"
0.63290443298969,"fd.19.2021"
0.713431351339332,"fd.2.2021"
0.674338377358491,"fd.20.2021"
0.691201055555556,"fd.21.2021"
0.588180436363636,"fd.22.2021"
0.622762057305841,"fd.23.2021"
0.578834321100917,"fd.24.2021"
0.754458036697248,"fd.25.2021"
0.836762902508435,"fd.26.2021"
0.92045196022598,"fd.27.2021"
0.625387599070906,"fd.28.2021"
0.575021395348837,"fd.29.2021"
0.702278630342166,"fd.3.2021"
0.517123378378378,"fd.30.2021"
0.662470903524609,"fd.31.2021"
0.625911120647868,"fd.32.2021"
0.632222837285189,"fd.33.2021"
0.646813282479647,"fd.34.2021"
0.556348703703703,"fd.35.2021"
1,"fd.36.2021"
0.669724867265226,"fd.37.2021"
0.775861065573771,"fd.38.2021"
0.77322237311909,"fd.39.2021"
0.665705900990099,"fd.4.2021"
0.562109647383427,"fd.40.2021"
0.534862038709677,"fd.41.2021"
0.590290041583009,"fd.42.2021"
0.688798,"fd.43.2021"
0.662146510331941,"fd.44.2021"
0.516262178571429,"fd.45.2021"
0.661626304240724,"fd.46.2021"
0.780109206761517,"fd.47.2021"
0.717070849974411,"fd.48.2021"
0.591807411764706,"fd.49.2021"
0.85711647826087,"fd.5.2021"
0.694262625125773,"fd.51.2021"
0.608502469261963,"fd.52.2021"
0.516434578781194,"fd.53.2021"
0.667528041428415,"fd.6.2021"
0.606036803018402,"fd.7.2021"
0.696510355140187,"fd.8.2021"
0.560930978570655,"fd.9.2021"
0.586526964141986,"ir.1.2021"
0.563580549891859,"ir.10.2021"
0.629724524353374,"ir.11.2021"
0.569792333333333,"ir.12.2021"
0.727199,"ir.13.2021"
0.725294710353956,"ir.14.2021"
0.416079976044456,"ir.15.2021"
0.675900837950419,"ir.16.2021"
0.705983705983706,"ir.17.2021"
0.533394190476191,"ir.18.2021"
0.590109833323327,"ir.19.2021"
1,"ir.2.2021"
0.48734672,"ir.20.2021"
0.643605562543522,"ir.21.2021"
0.555660538011696,"ir.22.2021"
0.620992813674824,"ir.23.2021"
0.673110402684564,"ir.24.2021"
0.410757934782609,"ir.25.2021"
0.864823376856133,"ir.26.2021"
0.536176639097744,"ir.27.2021"
0.67774383887192,"ir.28.2021"
0.737337333333333,"ir.29.2021"
0.687899743589744,"ir.3.2021"
0.669658043693997,"ir.30.2021"
0.707655126582279,"ir.31.2021"
0.621311163596758,"ir.32.2021"
0.68246534457717,"ir.33.2021"
0.472051775147929,"ir.34.2021"
0.447472688172043,"ir.35.2021"
0.599632280701754,"ir.36.2021"
0.643323,"ir.37.2021"
0.673785329646288,"ir.38.2021"
0.854974145025855,"ir.39.2021"
0.574681076612457,"ir.4.2021"
0.815832631578947,"ir.40.2021"
0.519329223070284,"ir.41.2021"
0.676476390677467,"ir.42.2021"
0.515584941176471,"ir.43.2021"
0.441904,"ir.44.2021"
0.551591914712571,"ir.45.2021"
0.560280091324201,"ir.46.2021"
0.657704714285714,"ir.47.2021"
0.733848736489586,"ir.48.2021"
0.544530682280113,"ir.49.2021"
0.619897774983853,"ir.5.2021"
0.964152732209348,"ir.51.2021"
1,"ir.52.2021"
1,"ir.53.2021"
0.726934345554189,"ir.6.2021"
0.69341454906995,"ir.7.2021"
0.911588907563025,"ir.8.2021"
1,"ir.9.2021"
0.679324542400747,"rand.1.2021"
0.87962962962963,"rand.10.2021"
0.942857142857143,"rand.11.2021"
0.862068965448276,"rand.12.2021"
0.907741251130435,"rand.13.2021"
0.816067285131713,"rand.14.2021"
0.9990069513,"rand.15.2021"
1,"rand.16.2021"
0.903131115939285,"rand.17.2021"
0.953900709,"rand.18.2021"
0.889593114183519,"rand.19.2021"
0.771198830777778,"rand.2.2021"
0.878172588770646,"rand.20.2021"
0.867768595,"rand.21.2021"
0.972978901114011,"rand.22.2021"
0.933503296050126,"rand.23.2021"
0.860804706174861,"rand.24.2021"
