"dist.wy","id"
0.568362987447699,"dt.1.2021"
0.344429848685397,"dt.10.2021"
0.328580160530682,"dt.11.2021"
0.403772701886351,"dt.12.2021"
0.448242333333334,"dt.13.2021"
0.452584339195395,"dt.14.2021"
0.472623307189542,"dt.15.2021"
0.429727593073593,"dt.16.2021"
0.43199017266099,"dt.17.2021"
0.390223484943659,"dt.18.2021"
0.360269666498583,"dt.19.2021"
0.45734712244898,"dt.2.2021"
0.431397043017089,"dt.20.2021"
0.624494310496129,"dt.21.2021"
0.401935852614897,"dt.22.2021"
0.515406900833135,"dt.23.2021"
0.558064287671233,"dt.24.2021"
0.456063541169924,"dt.25.2021"
0.407450543859649,"dt.26.2021"
0.384563585863902,"dt.27.2021"
0.531395857142857,"dt.28.2021"
0.436344836655831,"dt.29.2021"
0.395183442634214,"dt.3.2021"
0.622547137783441,"dt.30.2021"
0.600149706459249,"dt.31.2021"
0.441957095815345,"dt.32.2021"
0.556198801152738,"dt.33.2021"
0.440635444886441,"dt.34.2021"
0.568481070368733,"dt.35.2021"
0.652240756272399,"dt.36.2021"
0.556128922642774,"dt.37.2021"
0.440936903567043,"dt.38.2021"
0.60548043615083,"dt.39.2021"
0.629768814884408,"dt.4.2021"
0.63107063643084,"dt.40.2021"
0.61313958434757,"dt.41.2021"
0.335202667601334,"dt.42.2021"
0.46793785286783,"dt.43.2021"
0.41127015438942,"dt.44.2021"
0.516045241977379,"dt.45.2021"
0.507688718999091,"dt.46.2021"
0.422130336969766,"dt.47.2021"
0.482177498458364,"dt.48.2021"
0.510489950637378,"dt.49.2021"
0.6068293126294,"dt.5.2021"
0.423790826714801,"dt.50.2021"
0.368786440939767,"dt.51.2021"
0.393618175069957,"dt.52.2021"
0.476008848702575,"dt.53.2021"
0.495502683423856,"dt.54.2021"
0.452834200920887,"dt.55.2021"
0.371511855968694,"dt.56.2021"
0.722365580664722,"dt.57.2021"
0.402462810810811,"dt.58.2021"
0.456657507389162,"dt.59.2021"
0.43076622418136,"dt.6.2021"
0.602642192633398,"dt.60.2021"
0.454546777777777,"dt.61.2021"
0.442067471936263,"dt.62.2021"
0.677646187450109,"dt.63.2021"
0.539339202571428,"dt.64.2021"
0.52905669579288,"dt.7.2021"
0.755658341779014,"dt.8.2021"
0.517670959893838,"dt.9.2021"
0.506150746231917,"fd.1.2021"
0.613017581856108,"fd.10.2021"
0.55550635155096,"fd.11.2021"
0.452525385837161,"fd.12.2021"
0.470979560439561,"fd.13.2021"
0.630462569878125,"fd.14.2021"
0.622789509201542,"fd.15.2021"
0.647936860778247,"fd.16.2021"
0.414829568886646,"fd.17.2021"
0.596205751387832,"fd.18.2021"
0.511665460757131,"fd.19.2021"
0.49015817650849,"fd.2.2021"
0.431971570112464,"fd.20.2021"
0.544569380502666,"fd.21.2021"
0.472037389221557,"fd.22.2021"
0.591629606060606,"fd.23.2021"
0.533220634561766,"fd.24.2021"
0.536905316498316,"fd.25.2021"
0.449786717697416,"fd.26.2021"
0.541869501207347,"fd.27.2021"
0.488543876447876,"fd.28.2021"
0.581914698463074,"fd.29.2021"
0.547235714794328,"fd.3.2021"
