"","trt.b.sub.y","dist"
"1","dt.1.n.2021",0.896047071167881
"2","dt.1.s.2021",1.58545710552099
"3","dt.10.n.2021",1.24288012853128
"4","dt.10.s.2021",0.820487024816587
"5","dt.11.n.2021",1.33570682946362
"6","dt.11.s.2021",0.885309644266088
"7","dt.12.n.2021",0.999423698275778
"8","dt.12.s.2021",1.40300542082569
"9","dt.13.n.2021",0.629544205044438
"10","dt.13.s.2021",0.673642560823251
"11","dt.14.n.2021",1.11317239915214
"12","dt.14.s.2021",1.13455621302732
"13","dt.15.n.2021",2.12054425851741
"14","dt.15.s.2021",1.56769448449741
"15","dt.16.n.2021",1.02251591453466
"16","dt.16.s.2021",0.771769463166239
"17","dt.17.n.2021",0.433221851333715
"18","dt.17.s.2021",0.615012614839318
"19","dt.18.n.2021",1.26826598924326
"20","dt.18.s.2021",1.18477931907183
"21","dt.19.n.2021",1.31264030591741
"22","dt.19.s.2021",0.657418162419711
"23","dt.2.n.2021",0.619130907654839
"24","dt.2.s.2021",0.551100925330949
"25","dt.20.n.2021",0.719638496890093
"26","dt.20.s.2021",1.58110707345446
"27","dt.21.n.2021",1.01321422810171
"28","dt.21.s.2021",0.901070433744648
"29","dt.22.n.2021",1.24235826092359
"30","dt.22.s.2021",1.32102040325892
"31","dt.23.n.2021",0.88215523237776
"32","dt.23.s.2021",0.814109791294783
"33","dt.24.n.2021",1.38496925826873
"34","dt.24.s.2021",1.50898734231792
"35","dt.25.n.2021",0.620375755211548
"36","dt.25.s.2021",0.830782108866473
"37","dt.26.n.2021",0.588133614920345
"38","dt.26.s.2021",0.889273996453011
"39","dt.27.n.2021",1.1508959391075
"40","dt.27.s.2021",1.44785830777251
"41","dt.28.n.2021",1.31968288268123
"42","dt.28.s.2021",1.06885150467324
"43","dt.29.n.2021",0.957072628247083
"44","dt.29.s.2021",1.02367075959258
"45","dt.3.n.2021",1.58144906832216
"46","dt.3.s.2021",1.28403751320063
"47","dt.30.n.2021",1.00200536010554
"48","dt.30.s.2021",0.927768698788804
"49","dt.31.n.2021",1.11371050774846
"50","dt.31.s.2021",0.6699356386852
"51","dt.32.n.2021",1.35585579762526
"52","dt.32.s.2021",0.982956113037378
"53","dt.33.n.2021",1.15606678157224
"54","dt.33.s.2021",0.461299747109087
"55","dt.34.n.2021",0.973456373627181
"56","dt.34.s.2021",0.225239433336987
"57","dt.35.n.2021",1.01627274989584
"58","dt.35.s.2021",1.22163189178727
"59","dt.36.n.2021",1.34123331811379
"60","dt.36.s.2021",1.00821093834798
"61","dt.37.n.2021",1.0010773155177
"62","dt.37.s.2021",0.997971825254834
"63","dt.38.n.2021",1.09618179839666
"64","dt.38.s.2021",1.12482184655013
"65","dt.39.n.2021",0.438395550134068
"66","dt.39.s.2021",0.496035931658987
"67","dt.4.n.2021",0.97433621341485
"68","dt.4.s.2021",0.976283846222806
"69","dt.40.n.2021",0.57854934694924
"70","dt.40.s.2021",0.365638087201791
"71","dt.41.n.2021",0.814614691237166
"72","dt.41.s.2021",0.903426893491349
"73","dt.42.n.2021",0.685374106502326
"74","dt.42.s.2021",1.21124273717181
"75","dt.43.n.2021",2.90050830439406
"76","dt.43.s.2021",1.47139830653182
"77","dt.44.n.2021",1.10829645270556
"78","dt.44.s.2021",0.657388740576863
"79","dt.45.n.2021",0.815463381636732
"80","dt.45.s.2021",0.839343396810965
"81","dt.46.n.2021",0.747971530429016
"82","dt.46.s.2021",0.769553525071582
"83","dt.47.n.2021",0.916401721872553
"84","dt.47.s.2021",1.09573851724497
"85","dt.48.n.2021",0.380918650897651
"86","dt.48.s.2021",0.639651010136908
"87","dt.49.n.2021",0.774631213357082
"88","dt.49.s.2021",0.77700759912951
"89","dt.5.n.2021",2.3005042495074
"90","dt.5.s.2021",0.428964319547122
"91","dt.50.n.2021",1.70730530981802
"92","dt.50.s.2021",0.969195993497534
"93","dt.51.n.2021",0.85779578214628
"94","dt.51.s.2021",0.783948567519799
"95","dt.52.n.2021",0.981077950488951
"96","dt.52.s.2021",0.679084567276058
