"trt.b.y","distdt","distir","distfd","distr","targetdist"
"fd.58.2021",2.46960532959947,1.69724997545372,0.0547404367262225,1.20648370530537,0.0547404367262225
"fd.58.2022",0.717948355715135,1.2738686847847,0.413881457637052,3.17940654503038,0.413881457637052
"fd.58.2023",2.06906254413061,2.47920113244356,0.033873053440004,0.990362246442824,0.033873053440004
"fd.59.2021",2.8010754249716,2.52535290686204,0.371665208541452,1.40414294113762,0.371665208541452
"fd.59.2022",1.07249911555571,1.9935438455075,0.608525901137116,2.73936137173147,0.608525901137116
"fd.59.2023",1.17879906304253,2.10414043209613,0.366098798153079,1.61857564445607,0.366098798153079
"fd.6.2021",2.75227734534039,1.76049020655368,0.51449392976649,1.88755340054254,0.51449392976649
"fd.6.2022",1.92800326405715,2.04309541142959,0.165654509589473,1.01122564593262,0.165654509589473
"fd.6.2023",2.37252034274291,2.20160461469494,0.471604788161353,1.24697738508851,0.471604788161353
"fd.60.2021",3.26838332581242,2.52601164173009,0.390905216018056,1.78705706911583,0.390905216018056
"fd.60.2022",1.22274824745341,1.69419384641494,0.0450233250496713,1.73231522308822,0.0450233250496713
"fd.60.2023",1.73596281976697,2.32404690022318,0.17697403035726,0.764914687939824,0.17697403035726
"fd.61.2021",2.98521053770808,2.32360736656186,0.380580465495886,1.48826334883582,0.380580465495886
"fd.61.2022",1.31988229892266,1.70631508254388,0.28106002064223,1.91804675284915,0.28106002064223
"fd.61.2023",2.09546583867414,2.07365158295443,0.230747514645308,0.621204356469685,0.230747514645308
"fd.62.2021",2.88426622139039,2.85477546509622,0.323772203680414,1.47436757014236,0.323772203680414
"fd.62.2022",0.880516469011212,2.21621075245076,0.537781935232291,2.4377168656736,0.537781935232291
"fd.62.2023",1.25746329272123,2.45802126637525,0.277803964385264,1.21107275835076,0.277803964385264
"fd.63.2021",2.19197025529595,1.89208060827307,0.598003171911604,1.34488734226878,0.598003171911604
"fd.63.2022",1.02306825114884,1.04778314821515,0.391181808081971,2.6930368907324,0.391181808081971
"fd.63.2023",1.64948655219647,1.44112114924943,0.327489076780272,1.10458082027828,0.327489076780272
"fd.64.2021",1.80423209372671,2.27819950216519,0.606473320776242,1.21788566554642,0.606473320776242
"fd.64.2022",1.16511719612563,2.24567701096619,0.258652326354437,1.43921698007011,0.258652326354437
"fd.64.2023",1.32239659511925,1.98464365772777,0.51371535446653,1.16477629388259,0.51371535446653
"fd.7.2021",3.30061923405391,2.45470982041526,0.243274078632513,2.21367547521677,0.243274078632513
