"","trt.b.y","dist"
"1","dt.1.2021",0.272693304583909
"2","dt.1.2022",0.357319137294499
"3","dt.1.2023",0.337075521728943
"4","dt.10.2021",0.142879249558007
"5","dt.10.2022",0.251991680450465
"6","dt.10.2023",0.186871328779743
"7","dt.11.2021",0.251038394910028
"8","dt.11.2022",0.232774330291929
"9","dt.11.2023",0.485178870899609
"10","dt.12.2021",0.290120887019597
"11","dt.12.2022",0.190548904754046
"12","dt.12.2023",0.283098879000602
"13","dt.13.2021",0.191415452284463
"14","dt.13.2022",0.19438375096373
"15","dt.13.2023",0.218170194250369
"16","dt.14.2021",0.162343937036245
"17","dt.14.2022",0.451102992263315
"18","dt.14.2023",0.245394016468061
"19","dt.15.2021",0.214951769927196
"20","dt.15.2022",0.291158857360477
"21","dt.15.2023",0.231572302411156
"22","dt.16.2021",0.221887027922252
"23","dt.16.2022",0.162603294617388
"24","dt.16.2023",0.23097828598409
"25","dt.17.2021",0.255865727494663
"26","dt.17.2022",0.189866274063038
"27","dt.17.2023",0.186481637885042
"28","dt.18.2021",0.272481616782004
"29","dt.18.2022",0.217274917657384
"30","dt.18.2023",0.577727362358125
"31","dt.19.2021",0.167593713646384
"32","dt.19.2022",0.150976431286348
"33","dt.19.2023",0.180942423517499
"34","dt.2.2021",0.298287566885424
"35","dt.2.2022",0.265411507828517
"36","dt.2.2023",0.389038606307059
"37","dt.20.2021",0.149677011948994
"38","dt.20.2022",0.146458868787432
"39","dt.20.2023",0.158741709384857
"40","dt.21.2021",0.261880923163701
"41","dt.21.2022",0.229315579605529
"42","dt.21.2023",0.232572386830007
"43","dt.22.2021",0.259630019550666
"44","dt.22.2022",0.121021451315857
"45","dt.22.2023",0.54720476987283
"46","dt.23.2021",0.204672241512466
"47","dt.23.2022",0.278205082854027
"48","dt.23.2023",0.286065520239025
"49","dt.24.2021",0.272325502527013
"50","dt.24.2022",0.377656410148149
"51","dt.24.2023",1
"52","dt.25.2021",0.325855064586536
"53","dt.25.2022",0.406032042833705
"54","dt.25.2023",0.142662671212016
"55","dt.26.2021",0.174540587555228
"56","dt.26.2022",0.253559485553374
"57","dt.26.2023",0.299898923174521
"58","dt.27.2021",0.548625656561907
"59","dt.27.2022",0.2781141907666
"60","dt.27.2023",0.341736762042689
"61","dt.28.2021",0.21803263180109
"62","dt.28.2022",0.247859287057299
"63","dt.28.2023",0.287700961174572
"64","dt.29.2021",0.269059966531441
"65","dt.29.2022",0.242006956691516
"66","dt.29.2023",0.182890930509479
"67","dt.3.2021",0.223724997436816
"68","dt.3.2022",0.210294211937291
"69","dt.3.2023",0.281690168101758
"70","dt.30.2021",0.465565695132339
"71","dt.30.2022",0.14961327826826
"72","dt.30.2023",0.259776392873138
"73","dt.31.2021",0.37424553322585
"74","dt.31.2022",0.336500999036473
"75","dt.31.2023",0.271003813342129
"76","dt.32.2021",0.209708662746299
"77","dt.32.2022",0.190228105232649
"78","dt.32.2023",0.234001578249785
"79","dt.33.2021",0.257711189893112
"80","dt.33.2022",0.137607661414098
"81","dt.33.2023",0.265309636816853
"82","dt.34.2021",0.182669782823553
"83","dt.34.2022",0.171294593683322
"84","dt.34.2023",0.254288998902304
"85","dt.35.2021",0.125496365221363
"86","dt.35.2022",0.268476791278515
"87","dt.35.2023",0.131283314825875
"88","dt.36.2021",0.287388275138252
"89","dt.36.2022",0.259641760405358
"90","dt.36.2023",0.288929379219334
"91","dt.37.2021",0.283196999464408
"92","dt.37.2022",0.268032580145191
"93","dt.37.2023",0.32521914419898
"94","dt.38.2021",0.254886647917594
"95","dt.38.2022",0.234503769286635
"96","dt.38.2023",0.307616544255773
"97","dt.39.2021",0.243066138246925
"98","dt.39.2022",0.246586342519083
"99","dt.39.2023",0.331960875115708
"100","dt.4.2021",0.242698009220405
"101","dt.4.2022",0.24087425461555
"102","dt.4.2023",0.287854251121887
"103","dt.40.2021",0.159870884426867
"104","dt.40.2022",0.118416826360839
"105","dt.40.2023",0.286415647358217
"106","dt.41.2021",0.103601501378995
"107","dt.41.2022",0.077954276052839
"108","dt.41.2023",0.301732584312778
"109","dt.42.2021",0.171712567811715
"110","dt.42.2022",0.198354594406373
"111","dt.42.2023",0.233305595866973
"112","dt.43.2021",0.144492937652205
"113","dt.43.2022",0.149364600052813
"114","dt.43.2023",0.330393011264724
"115","dt.44.2021",0.176510309578923
"116","dt.44.2022",0.157855038559095
"117","dt.44.2023",0.274223280630292
"118","dt.45.2021",0.213446850309405
"119","dt.45.2022",0.219558728361717
"120","dt.45.2023",0.261880980894724
"121","dt.46.2021",0.279941914039679
"122","dt.46.2022",0.342371200283514
"123","dt.46.2023",0.327451598067817
"124","dt.47.2021",0.281429502222219
"125","dt.47.2022",0.219613766089556
"126","dt.47.2023",0.340359594942565
"127","dt.48.2021",0.216107228125901
"128","dt.48.2022",0.234046916832113
"129","dt.48.2023",0.353527537755086
"130","dt.49.2021",0.359114742829898
"131","dt.49.2022",0.284158322120348
"132","dt.49.2023",0.360673766692093
"133","dt.5.2021",0.179790967766417
"134","dt.5.2022",0.127821540068779
"135","dt.5.2023",0.121135387883501
"136","dt.51.2021",0.110355112546462
"137","dt.51.2022",0.290448681386294
"138","dt.51.2023",0.242833996026273
"139","dt.52.2021",0.345588070876599
"140","dt.52.2022",0.359557668740551
"141","dt.52.2023",0.344813692063666
"142","dt.53.2021",0.16963000014119
"143","dt.53.2022",0.0866221011101057
"144","dt.53.2023",0.288211248988755
"145","dt.6.2021",0.169948825582086
"146","dt.6.2022",0.331524871525198
"147","dt.6.2023",0.212915299486644
"148","dt.7.2022",0.326241828014667
"149","dt.7.2023",0.145559661366336
"150","dt.8.2021",0.246837362931088
"151","dt.8.2022",0.187759669725543
"152","dt.8.2023",0.184336050775306
"153","dt.9.2021",0.173632520885004
"154","dt.9.2022",0.110437342451739
"155","dt.9.2023",0.205087016345941
"156","target",0
"157","ir.1.2021",0.786568046050812
"158","ir.10.2021",0.464363028324534
"159","ir.11.2021",0.543491311570208
"160","ir.12.2021",0.100185235918091
"161","ir.13.2021",0.435929197491708
"162","ir.14.2021",0.531539407127228
"163","ir.15.2021",0.329829498888865
"164","ir.16.2021",0.36329438680261
"165","ir.17.2021",0.670274789548035
"166","ir.18.2021",0.599739164133127
"167","ir.19.2021",0.340330214371409
"168","ir.20.2021",0.243069958010286
"169","ir.21.2021",0.186838419447103
"170","ir.22.2021",0.19543336381233
"171","ir.23.2021",0.482928676609454
"172","ir.24.2021",0.624432805448174
"173","ir.25.2021",0.702441344461204
"174","ir.26.2021",0.697006140090719
"175","ir.27.2021",0.716258131573501
"176","ir.28.2021",0.54510946105776
"177","ir.29.2021",0.796405558385205
"178","ir.3.2021",0.218449691510107
"179","ir.30.2021",0.885225067154488
"180","ir.31.2021",0.373088319124042
"181","ir.32.2021",0.381671883824881
"182","ir.33.2021",0.261779023957226
"183","ir.34.2021",0.221140434246192
"184","ir.35.2021",0.357398379523354
"185","ir.36.2021",0.263231881309169
"186","ir.37.2021",0.490396555504032
"187","ir.38.2021",0.365009272426515
"188","ir.39.2021",0.38605977466421
"189","ir.4.2021",0.311515922277551
"190","ir.40.2021",0.180338910599884
"191","ir.41.2021",0.193499087422185
"192","ir.42.2021",0.0921084242517722
"193","ir.43.2021",0.381752697424049
"194","ir.44.2021",0.287174136568334
"195","ir.45.2021",0.154387520970624
"196","ir.46.2021",0.364951234640858
"197","ir.47.2021",0.169046512869157
"198","ir.48.2021",0.290742729314243
"199","ir.49.2021",0.872126639533563
"200","ir.5.2021",0.21358586289533
"201","ir.51.2021",0.616964644511534
"202","ir.52.2021",0.314929266857774
"203","ir.6.2021",0.151601395852202
"204","ir.7.2021",0.0687238536236173
"205","ir.8.2021",0.56387488281873
"206","ir.9.2021",0.370604387104192
"207","ir.1.2022",0.53051863191806
"208","ir.10.2022",0.36970165143278
"209","ir.11.2022",0.638060578999622
"210","ir.12.2022",0.0258037580520376
"211","ir.13.2022",0.427902787074412
"212","ir.14.2022",0.547759018320745
"213","ir.15.2022",0.664448826237644
"214","ir.16.2022",0.431087407876273
"215","ir.17.2022",0.351748622594286
"216","ir.18.2022",0.566367816441907
"217","ir.19.2022",0.234242207821871
"218","ir.20.2022",0.220770907522689
"219","ir.21.2022",0.0429097965904664
"220","ir.22.2022",0.269508712079887
"221","ir.23.2022",0.607275260689556
"222","ir.24.2022",0.637571100156219
"223","ir.25.2022",0.776364673428338
"224","ir.26.2022",0.483100094789998
"225","ir.27.2022",0.967545581943786
"226","ir.28.2022",0.41873638597505
"227","ir.29.2022",0.924467447715967
"228","ir.3.2022",0.411596836092103
"229","ir.30.2022",0.415754991832952
"230","ir.31.2022",0.388922241721341
"231","ir.32.2022",0.300752285599179
"232","ir.33.2022",0.401954313734165
"233","ir.34.2022",0.334595758043437
"234","ir.35.2022",0.38029212679109
