"","trt.b.sub.y","dist"
"1","dt.1.n.2021",0.362477685826108
"2","dt.1.n.2022",0.383521507125121
"3","dt.1.n.2023",0.325673443935872
"4","dt.1.s.2021",0.407064817534489
"5","dt.1.s.2022",0.345970011200677
"6","dt.1.s.2023",0.351102809781205
"7","dt.10.n.2021",0.190261342292773
"8","dt.10.n.2022",0.340004658348138
"9","dt.10.n.2023",0.291521014943005
"10","dt.10.s.2021",0.173987409039603
"11","dt.10.s.2022",0.302189566056221
"12","dt.10.s.2023",0.273486625798131
"13","dt.11.n.2021",0.318456001978637
"14","dt.11.n.2022",0.32960007663898
"15","dt.11.n.2023",0.850923097924385
"16","dt.11.s.2021",0.220412790230029
"17","dt.11.s.2022",0.275053507169085
"18","dt.11.s.2023",0.761569440498862
"19","dt.12.n.2021",0.14247389498198
"20","dt.12.n.2022",0.197850756609574
"21","dt.12.n.2023",0.284873954961859
"22","dt.12.s.2021",0.293202919447394
"23","dt.12.s.2022",0.123400096494687
"24","dt.12.s.2023",0.149224650918128
"25","dt.13.n.2021",0.283495443922333
"26","dt.13.n.2022",0.371097782003945
"27","dt.13.n.2023",0.363218492265024
"28","dt.13.s.2021",0.314087239677594
"29","dt.13.s.2022",0.388958648384044
"30","dt.13.s.2023",0.387362377434932
"31","dt.14.n.2021",0.305933474926374
"32","dt.14.n.2022",0.279551242726695
"33","dt.14.n.2023",0.371515299101397
"34","dt.14.s.2021",0.259574945792291
"35","dt.14.s.2022",0.268395093943929
"36","dt.14.s.2023",0.291822465277595
"37","dt.15.n.2021",0.40246222481507
"38","dt.15.n.2022",0.284444745000302
"39","dt.15.n.2023",0.17529732171223
"40","dt.15.s.2021",0.240481622550347
"41","dt.15.s.2022",0.303777317252808
"42","dt.15.s.2023",0.154580620965542
"43","dt.16.n.2021",0.3397773782445
"44","dt.16.n.2022",0.298648323512687
"45","dt.16.n.2023",0.263675941445465
"46","dt.16.s.2021",0.266797370461621
"47","dt.16.s.2022",0.343682953457753
"48","dt.16.s.2023",0.236298400359423
"49","dt.17.n.2021",0.256623195380404
"50","dt.17.n.2022",0.401277005454299
"51","dt.17.n.2023",0.373121465007317
"52","dt.17.s.2021",0.297126431401049
